71	5	394	13b	9c	71
71	5	394	13b	9c	71
460	1	362	13d	4	460
71	5	444	128	a2	71
71	5	458	135	dd	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	458	135	dd	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	444	128	a2	71
460	1	362	13d	4	460
71	5	458	135	dd	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	458	135	dd	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	444	128	a2	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	444	128	a2	71
71	5	394	13b	9c	71
71	5	458	135	dd	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	444	128	a2	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	444	128	a2	71
71	5	458	135	dd	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	458	135	dd	71
71	5	444	128	a2	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
460	1	362	13d	4	460
460	1	362	13d	4	460
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	458	135	dd	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	458	135	dd	71
71	5	444	128	a2	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
460	1	362	13d	4	460
71	5	394	13b	9c	71
460	1	362	13d	4	460
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	458	135	dd	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
